"index","工作內容"
1,"1.課綱擬定，教學活動策劃。
2.教材編纂與教學活動策劃。
3.學生學習狀況掌握與紀錄，與家長面對面偷通能力。
4.批改作業及測驗與課後輔導。
5歡迎具有教學熱忱與創意者加入團隊，有完整培訓與升遷制度。

上班時間：
週一 ~ 週五 15:00 ~ 22:00
週六 早午班 8:30 ~ 17:30
週六 午晚班 13:00 ~ 22:00
週日 早午班 8:30 ~ 17:30
週日 午晚班 13:00 ~ 22:00"
2,"1.擔任音樂教學工作。
2.參與教學研討及練習合奏，以增進音樂與教學能力。
3.參加排定之研修會、講座或其它相關教學及教室活動。

"
3,"助教
1. 指導課業、批改學生作業。
2. 值班、監考。
3. 協助老師教學。　"
4,"1.管理學生出勤、成績，班級秩序維持，定期電話關心聯絡。 
2.接聽電話，解說課程，講座接待。 
3.教學上的行政事務，例如：影印、成績單製表。"
5,"教授韓語
"
6,"教授日語
"
7,"住補習班附近 簡杰舊生優先錄取
三十年河東  三十年河西  莫欺少年窮
創辦人也是一步一腳印 建立簡杰教育 簡杰補習班
一 簡杰文化
新進人員從行政助理開始與簡杰教育創辦人手把手的學習
我們的企業文化是用教育的力量讓明天更幸福
我們企業的做法是務實的教學 真心的投入社會公益
我們的精神是""勞動與惜福""
我們盼望教育的力量能夠持續所以在此招募修秀人才
簡杰補習班不需要工讀生""招生""
簡杰補習班學生多數是慕名而來或者就學生家庭介紹來的家庭
二 新進人員適應
錄取的長期工讀生由資深的姐姐或同仁帶領一路熟悉我們的工作內容傳承
由於我們的良好傳統  惜福與勞動 班主任通常不大管工讀生 工作也很輕鬆自在
工作上我們都是快樂面對
我們的師資或行政主管都是從工讀生開始
因為我門計畫增設分部 所以特別開這個職缺
三 工作內容
這工作是公司的門面
也是一個學習創業與展現活動企劃以及行銷能力的簡單愉快又輕鬆的職缺
應對進退 反應能力儀態一定不能太差
~ 開這職缺是因應補習班擴班培訓儲備人才需求而招募補習班行政櫃台 ~
主要工作如下:
1.處理晚班補習班課務成功經驗
2.打掃清潔工作，學生家長接待。
3.輔導學生課業，扮演生活導師，協助解決學生課業上及生活上的困擾，極少的解題機會。

我們目前工讀生最短都在簡杰工作將近兩年以上非常穩定
固定班:時段要固定 (必須要有國中數學輔導能力)
個別班客服秘書工作內容:
協助班主任處理個別班學生家長老師聯絡等課教庶務
務必自信擁有清晰的思維與服務熱忱

四  工作時間

必須長期配合下面工作時間選擇固定配合時段(時段確定後務必固定):

1. 週間班 星期一/星期五 17:00~22:00

2. 假日班 星期六 14:00~22:00 星期日16:00~19:00

五  必須具備能力

時薪160元表現良好調整
/偶爾 有國中小學生需要輔導與極少數機會的解題 所以解題能力佳!!!!

負責接聽聯繫回報整理打掃,輔導學生課業等等行政庶務!

目前比較需要假日班
負責接聽聯繫回報整理打掃(倒垃圾),訂便當,輔導學生課業等等行政庶務!

有數理解題能力佳!!!!(偶爾學生問問題要幫忙輔導/主要工作為行政庶務)



"
8,"1. 需經過師資培訓之後成為正式老師
2. 進行英文繪本教學
3. 規劃才藝及文教活動。
4. 進行教學市場經營規劃。
5. 負責課程教案規劃與執行。
6. 負責專業才藝研究與教學研究。
7. 負責試卷出題及批改工作。
8. 製作教具。
9. 與唱片公司以及歌手開課程會議
10. 協助歌手錄音及拍攝工作 ...等"
9,"1.輔導語文訓練、考試科目及學校課業。"
10,"『BigByte始終在為未來做最好的準備』
從2020開始超前部署，善用線上學習平台及系統，
在抗疫期間堅持停課不停學，並維持原本的授課品質，受到九成家長的滿意回饋！

而實習計畫也不因疫情間斷，持續招募最優秀的人才，
面試過程採線上形式，預計警戒解除後即可受訓到職！

【實習特色】
1. 提供任務參與、專案執行及現場實務的Real Job職場經歷
2. 提供系統性專業訓練，加上資深Mentor 在崗訓練與指導
3. 定期考核、三階段晉升制度，讓有企圖心的你，能力被看見！

【實習方案】
1. BigByte提供兩種實習方案：
A. 8個月帶薪實習
B. 一年帶薪實習
2. 排班時間：週一至週五11:00-19:00，可依課表彈性調整。每週至少2.5天、共計16小時以上。
3. 可配合學校實習

【工作內容】
1. 課業陪讀教練Homework Coach 的任務包括：
    ● 國小學生課業指導
    ● 班級秩序管理
    ● 家長、學生關係維繫
    ● 其他：學務相關行政、分校專案活動執行

2. 英語閱讀教練Reading Coach 的任務包括：
    ● 英文閱讀計畫執行
    ● 一對一 讀本朗讀/文意理解 指導
    ● 一對多學生管理
    ● 其他：學務相關行政、分校專案活動執行

【福利待遇】
1. 時薪以$160計，完成合約者提供〖工作獎金〗
2. 免費午餐、點心
3. 勞保、勞退6%提撥；另提供24小時團體意外險
4. 不定期部門聚餐；公司年末尾牙、聖誕派對
5. 每年2-3名優秀實習生直接轉為正職！

~~BigByte邀請對教育充滿熱忱的你／妳一起為台灣的英語教育做出貢獻~~"
