"index","工作內容"
1,"於此專區投遞履歷即可應徵信義房屋股份有限公司【110年新創企業實務培訓職場圓夢計畫的職缺期間】的職缺！

【公司產業類型】
不動產經營業

【公司簡介】
信義企業集團成立40年以來，始終秉持「以人為本」的信義精神，以「堅持企業社會責任，成就世界級服務業」為目標，期能在2025年「成為全球華人居住產業第一品牌」，進而達成與整體社會共生共榮的終極願景。信義房屋在公司治理上自我要求嚴格，不僅是期待獲得社會高度信任與認同，更期許對整個房仲業產生良好的示範效應，進而成為誠信經營的企業表率，並帶領台灣房仲業成為世界級的服務業。2020年臺灣證券交易所公布「公司治理評鑑」結果，信義房屋更連續六年獲評鑑為最優級(上市組排名前百分之五)的最高肯定，信義房屋以徹底落實企業社會責任且嚴格自我要求，更將公司治理文化深植董事會及全體員工、長期在公司治理領域持續深耕的努力，獲得評鑑制度的高度認同。

【110年新創企業實務培訓職場圓夢計畫】職缺
《【不動產經紀人員】房仲龍頭-轉職首選無經驗可》

工作地點：
1. 桃園市
2. 雙北市
3. 新竹市
4. 台中市
5. 高雄市

工作內容：
(1)房屋買賣仲介
(2)房屋租賃仲介
(3)不動產諮詢服務
(4)售後客戶服務
(5)工作待遇50,000元/月
(6)此為正職職缺


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。
"
2,"於此專區投遞履歷即可應徵三井資訊股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
電子通訊／電腦週邊零售業

【公司簡介】
自民國76年起，三井從電腦桌批發買賣店開始做起，並於民國81年在中壢成立第一家佔地百坪的複合式型態電腦賣場，民國98年即與異業結盟創下國內3C通路複合式經營的先例。三十餘年來，三井透過不斷的轉型與創新，整合電腦、週邊、軟體、通訊、家電及圖書等眾多產品類別，提供消費者豐富、齊全的3C資訊商品，三井更積極的與原廠、通路商合作，例如：成立宏碁授權維修中心以深耕消費後電腦維修服務、進駐大潤發、家樂福以提供專業的創新服務銷售模式，以及加盟遠傳電信等異業合作方式，致力於帶給消費者整合多元的行銷體驗模式。目前擁有涵蓋複合式經營門市、電競遊戲館、筆電專賣店、通訊門市與維修中心共計64家直營門市的三井儼然已為台灣大型的資訊賣場通路之一。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《門市業務銷售專員【桃園區】》
工作地點：桃園
工作內容：
(1)商品銷售與陳列管理。
(2)客戶服務與管理。
(3)門市營運作業。
(4)營運幹部培訓。
(5)薪資加計固定加班費後自27,000起、業績獎金另計。
(6)月休9天。

2.	《通訊銷售新星【遠傳中壢環中門市】》
工作地點：桃園
工作內容：
(1)負責門號/手機/專案介紹及銷售。
(2)顧客之服務與管理。
(3)負責商品進貨入庫、銷售管理及庫存管理。
(4)負責商品陳列及促銷品換檔工作。
(5)門店櫃務作業。
(6)加計固定加班費後，薪資自26K至46K，業績獎金另計。


3.	《即將開幕~三井3C業務專員【大潤發土城店】》
工作地點：新北市土城區
工作內容：
(1)筆電銷售與陳列管理。
(2)客戶服務與管理。
(3)具備電腦組裝、維修經驗者尤佳。
(4)營運幹部培訓。
(5)月休8天。 (另排6~8天早班)
(6)加計固定加班費後，薪資平均30K起，業績獎金另計。

4.	《筆電業務專員【新竹NOVA二店】》
工作地點：新竹市東區
工作內容：
(1)商品銷售與陳列管理。
(2)客戶服務與管理。
(3)門市營運作業。
(4)營運幹部培訓。
(5)薪資加固定加班費後約27k起薪、業績獎金另計。
(6)月休9天。


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。
"
3,"於此專區投遞履歷即可應徵亞太電信股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
電信相關業

【公司簡介】
亞太電信股份有限公司於2000年成立，自2014年起以「Gt智慧生活」為品牌發展核心，以行動、數位、寬頻做為業務發展重心，致力開創多元智慧應用，積極轉型為「新科技服務營運商」。
營運迄今一路走來，亞太電信全力落實創新資費、多元產品及貼心服務，除了提供高品質的4G行動語音與網路服務，並積極跨入5G通訊新世代，結合鴻海科技集團研發及豐厚製造實力與資源，持續強化技術研發、基礎網路架設、應用服務整合、客戶開發及營運4大核心競爭力，致力深耕智慧製造、能源、交通、醫療、零售、娛樂等六大領域，以全新科技視野展望未來，持續推動智慧生活，創造更多無限可能。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《直營門市銷售人員【北部-桃園全區】》
工作地點：桃園
工作內容：
(1)客戶服務管理：
-辦理直營門市來店客戶之各項業務，如電信產品申辦、繳費、異動等。
-介紹及引導消費者體驗手機、家電等產品與加值服務。
-提供客戶問題諮詢及解決客戶問題，以提昇客戶滿意與忠誠度。
(2)店務行政管理：如商品管理， 庫存管理等行政和帳務工作。
(3)不定期外拓活動，熱情迎向戶外創造新客源，如：傳單發放、鄰里街頭巷尾拜訪等。

2.	《【客服專業】電銷專員-桃園(近藝文特區) 》
工作地點：桃園
工作內容：
(1)新申辦專案執行
(2)促銷訊息告知，提升加值型服務用量
(3)接聽簡易客服電話

3.	《【客服專業】維繫專員-桃園(近藝文特區)》
工作地點：桃園
工作內容：
(1)續約專案執行及推廣加值服務。
(2)接聽簡易客服電話 (例如:帳單查詢等)。

4.	《【客服專業】-電話客服專員-桃園(中正藝文特區旁)★》
工作地點：桃園
工作內容：
(1)接聽客戶服務專線，協助客戶解決問題(含查詢、異常、障礙申告等)，提升客戶服務滿意度。
(2)促案推廣及諮詢服務。
(3)排班時間:07:00~22:00(每日排班9hr含休息1hr)。
(4)夜班津貼另計。


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。
"
4,"1.櫃臺基本行政業務：我們希望你有活力帶著笑容，能親切介紹課程、管理預約、處理報名事宜
2.館內整潔維護 ：我們希望你是個愛乾淨的人，能細心維護舒適的運動環境與休憩空間 
3.客服：協助客戶處理相關事項及回覆
4.一般收銀、場館介紹及App使用解說
5.上班時間：晚班18：00-24：00（需排班）

備註：應徵人選需能穩定出勤、長期配合為主，不接受短期工讀"
5,"早班上班時間: 早上10點30分-下午5點
進行店內一切事務、點餐等工作。"
6,"工作內容主要為「外場服務人員」

當然還可學習其他簡易事務：
★三明治組合區
★西餐爐(學作早午餐炒蛋 法式吐司等及義大利麵)
★煎台區
★收銀區
★飲料吧檯區

以上皆有SOP，手把手帶您一起學習
不怕您不會，只怕您不學 ^_^"
7,"專營海內外設計師品牌服飾及週邊商品,誠徵與我們一起打拼得工作夥伴。
個人特質：
1. 喜愛搭配與服裝文化且熱於分享
2. 喜愛拍照與被拍照
3. 對於社群媒體經營有熱情
4. 凡事面帶笑容
5. 強烈喜愛突破目標迎接挑戰者

工作內容：
1.負責介紹及銷售門市商品達成公司目標。
2.積極主動，提供顧客接待與穿搭交流服務。
3.商品進/銷/存 等管理。
4.負責商品包裝、陳列及促銷品換檔工作。
5.維持店櫃週遭之整潔。
6.網路、社群平台素材整理及出貨。
7.需可配合北區點櫃調動排班或支援。
8.對台灣及小眾設計品牌、時尚流行有高度興趣與研究的夥伴尤佳！"
8,"喜歡在美的空間品味享受生活
注重生活細節及美感
並對學習咖啡、調酒有熱忱的你
期待有你的加入！

—— 職務描述 ——
1. 顧客接待
2. 餐點送餐
3. 學習協助飲品料理製作
4. 協助藝術展演或包場服務
5. 環境整理照顧
6. 有咖啡及調酒基本知識工作經驗者更加分
7. 早班為主，但可配合晚班者更佳

*時薪 : 早班10-19點 160元/時；晚班19-22點 180元/時；夜班22-03點 200元/時
*另有高額業績獎金
*忠孝復興捷運站或大安站，走路10分鐘

—— 希望特質 —— 
1. 享受與人接觸交流
  對人事物有好奇心
  有邏輯思考與組織能力讓工作有效率

2. 在乎細節
   細心與耐心兼具
   可以在工作中得到成就感及歸屬感

3. 對於環境敏感度極高，無法忍受雜亂的強迫症
   能以高標準、高規格整理及維護工作環境

4.有責任感
  能自動自發並充份熟悉職務職責
  主動完成工作

5.喜愛藝文美學
  喜歡音樂花藝藝文
  喜歡舞蹈表演美學更能享受工作環境"
9,"喜歡在美的空間品味享受生活
注重生活細節及美感
並對學習咖啡、調酒有熱忱的你
期待有你的加入！

—— 職務描述 ——
1. 顧客接待
2. 餐點送餐
3. 學習協助飲品料理製作
4. 協助藝術展演或包場服務
5. 環境整理照顧
6. 有咖啡及調酒基本知識工作經驗者更加分
7. 早班為主，但可配合晚班者更佳

*時薪 : 晚班19-22點 180元/時；夜班22-03點 200元/時
*另有高額業績獎金
*忠孝復興捷運站或大安站，走路10分鐘

—— 希望特質 —— 
1. 享受與人接觸交流
  對人事物有好奇心
  有邏輯思考與組織能力讓工作有效率

2. 在乎細節
   細心與耐心兼具
   可以在工作中得到成就感及歸屬感

3. 對於環境敏感度極高，無法忍受雜亂的強迫症
   能以高標準、高規格整理及維護工作環境

4.有責任感
  能自動自發並充份熟悉職務職責
  主動完成工作

5.喜愛藝文美學
  喜歡音樂花藝藝文
  喜歡舞蹈表演美學更能享受工作環境"
10,"晚班上班時間: 晚上5點-晚上10點。
進行店內一切事務、點餐等工作。"
