"index","工作內容"
1,"於此專區投遞履歷即可應徵台灣阿克蘇諾貝爾塗料股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
其他化學相關製造業

【公司簡介】
AkzoNobel阿克蘇諾貝爾塗料集團
全球最大塗料集團
荷商AkzoNobel阿克蘇諾貝爾公司於2008年與英商ICI公司合併後，成為全球最大的塗料集團，塗裝產品橫跨建築裝飾漆、木器漆、傢俱、粉體塗裝、船舶、汽車、家電、資訊等工業及特殊功能性塗料。
AkzoNobel阿克蘇諾貝爾經營理念在於關注客戶的未來發展、支援企業家思維方式、所有的行動皆符合高道德標準及責任心。來自全球80個國家35700多名的員工，以創新的研究開發及環保永續的精神滿足全世界客戶的需求。


【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《儲備幹部 Graduate Engineering Trainee》
工作地點：桃園
工作內容：
(1)協助製程流程改造及提升生產效率
(2)參與工廠相關專案
(3)科系要求：工程學科類


2.	《Specifier Marketing Specialist》
工作地點：台北市信義區
工作內容：
(1) Performing a pre-sales role to promote AN brand & product features to paint specifiers- interior designers/architect.
(2) Responsible for providing paint spec document & samples to commercial design specifiers and follow-up commercial projects leads from paint specification to paint usage with monthly update.
(3) Initiate ID marketing strategy and develop ID engagement program to enhance brand preference and paint usage.
(4) Promote Dulux colour leadership & product features through ID seminar/ event planning & execution;
(5)Promote colour future & colour tool to specifiers to support tinting business growth.
(6)Recruit ID to join Dulux ID line@ platform and explore business opportunity via routine 1-to-1 or 1-to-many ID services.
(7) ID database management & segmentation: optimize the investment effectiveness by ID segment priority.
(8)科系要求：市場行銷相關、建築相關


3.	《生產操作員》
工作地點：桃園
工作內容：
(1)配合每日工作安排，執行要求的產出
1-1每日配合正常輪班
1-2 產出產品品質符合公司要求
1-3 符合阿克蘇安全,環境衛生要求
(2)依公司標準作業流程進行機台操作，以降低不良率發生
(3)日常工作環境整潔維護
(4)科系要求：不拘


4.	《Supply Planning Coordinator》
工作地點：桃園
工作內容：
(1) Exceed service level target at minimized supply chain cost within operation constraints.
(2) Operate the production planning by reviewing APO/MRP and leveraging other tools.
(3) Optimize Inventory of finished goods/raw material/packaging material following the defined stocking policy.
(4) Minimize SLOB by proposing action plans.
(5) Proactively propose ideas to improve work efficiency, productivity, cost-effectiveness.
(6)科系要求：工業管理相關

5.	《品管技術員(QC Technician)》
工作地點：桃園
工作內容：
(1)針對供應商原物料與公司產品進行檢驗。
(2)針對異常的產品提供檢驗數據
(3)於系統內維護品管相關文件
(4)協助內/外部稽核作業
(5)科系要求：化學工程相關、化學相關

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
2,"時薪 160元/小時，
效能如有達標，時薪$180，
(須按照公司規定，效能有達標者)


對以下工作有興趣，歡迎加入小麥購物團隊!
小麥購物與您一起成長!

【需具備的態度及能力】
1.團隊合作
2.快速出貨
3.細心、減少揀錯商品的機率
4.手腳俐落、勤勞、體能佳者


【工作內容】
1.出貨、理貨、分貨、撿貨
2.整理倉庫
2.精準完成主管交代事宜
3.具備良好的情緒管理、溝通能力


***注意:
此工作需要長時間久站和走路，
應徵前，需評估自己體力狀況。



【工作時間】
本職缺為長期兼職
PM13:30~PM21:30
PM17:30~PM21:30
AM08:00~PM17:00
(如貨量較多，需配合公司增加時數)

【福利】
◆薪資結構： 時薪x工時
◆員購商品優惠
◆尾牙聚餐
◆定期聚餐
◆7-11點數卡(表現優良、經主管考核)
◆保險福利：勞保、健保、勞退

職務類別：
時薪 160元/小時
工作性質：
兼職 - 長期工讀
上班地點：高雄市鳳山區鎮北里鎮北北巷21-18號
休假制度：依公司規定
可上班日：一個月內
具備駕照：輕型機車、普通重型機車
"
3,"嗨！
我們是賣3D列印機的新創公司
創立三年半來公司每年穩定成長一倍

因為公司快速的成長，所以我們需要得力的小幫手，
主要工作內容：
1. 出貨
2. 協助主管管理倉庫 (有時需搬重物)
3. 3D列印機器組裝
4. 協助社群企劃執行
5. 公司庶務採購
6. 其他主管交辦事項

上班時間：(可前後彈性30分鐘)
平日：17:30-21:30
假日：時間彈性可議
若你有更好的時間配合方式，我們也可以討論


我們的團隊平均年齡25歲，
年輕且處變不驚
聰明且藐視成規

希望你跟我們一樣
是還未成功、渴望成功的年輕人"
4,"上下機台作業
工作現場工件研磨、測量
工作手會黑，須能接受再投履歷"
5,"進行製造現場的產品組裝、檢驗、包裝出貨等作業。
計件薪資論件計酬，將視所承做產品數量計算工資。
*在8:30~17:30時間裡可選擇到廠計件時間*"
6,"倉管
1.蒐集、計算貨物清單，並用紙筆或電腦記錄資料。
2.以有條理且易取得的方式儲存擺放倉庫中的貨品項目。
3.複查庫存的貨物數量與紀錄是否相符，查出不一致之處並更正錯誤。
4.利用辨識標籤、印花、標籤工具或其他標籤設備，在庫存貨物上做記號。
5.定期清潔庫存、工具、設備或貯藏室，以確保符合安全規章。
倉儲物流人員
1.驗收物流貨物、清點盤存作業。
2.從事物流貨物、重整、包裝作業。
3.執行作業區環境整理、清潔維護作業。
4.進行商品入倉、交期、送貨、調度安排等相關工作。
5.建置物流作業管控點及制定相關之管理報表。
6.完成主管交辦有關生產產品、程序事宜。"
7,"兼職臨時工(數名)
※上班時間可商議 ※"
8,"1. 協助生產線達成產能目標。 
2. 機台操作、電子零件組裝...等工作之作業員。 
3. 需穿著半身實驗服裝。"
9,"1.修排物件
2.投履歷時，請告知可以配合的時段(白天/晚上)
"
10,"主要工作內容 :

作業範疇 : 一般消費性電子、電器與器機械產品。
1.針對範疇內產品之檢查維修，並操作相關工具。
2.針對故障部分判斷、修理、更換零組件與線路。
3.測試、焊錫、烙鐵與電錶檢修。
4.檢測受損機器零件，進行專業判斷。
5.提供客戶故障判斷與售後服務。
6.分析產品功能異常狀況，並建立資料庫。
7.負責維修報表之建檔與管理。
8.提供顧客產品維修的內容與報價
"
11,"    工作内容是檢查，清潔與切割，包裝光學玻璃                
*** 工作地點: 和美伸港全興工業區***
暑假結束後需能週六，日可以上班者為優先錄用
"
12,"急徵長期『工讀生』 及 『作業員 』                    
                 
*** 工作地點: 伸港鄉興工路 ***"
13,"1.負責生產線機器、設備之操作，並維持機台正常運作。
2.進行製造現場的產品包裝作業。
3.完成主管交辦有關生產產品、程序事宜。
4.做二休二
5.日班：時薪160元/時，夜班175   (每班均工作10小時，中間休息2小時不計薪)
6.常日班：時薪160    (每班均工作8小時，中間休息1小時不計薪)
"
14,"現場作業流程協助等相關事宜。"
15,"【板金小小兵計劃，2021 年暑假熱情招幕中】

強烈徵求對板金、機械有興趣的你，暑期不用無聊打混了，快來迎盛與我 們一起過暑假吧!!! 體驗現場各部門工作特色，深入板金工廠，第一手的技術絕活不吝嗇的大 公開，您就是下一個板金 PRO。

徵才特色
1.  課外職場體驗營，提早培養職場競爭力
2.  先進自動化現場，告訴你學校沒教你的事
3.  工讀表現獲得肯定，工讀結束無縫接軌優先錄用
4.  絕不吝嗇拔擢年輕學子人才，機會是留給有準備的人

工作內容
*  板金現場基本作業:  包裝、理貨、分料等基本功的學習
*  支援各項緊急任務
*  體驗課程:   每個月有兩次體驗課程，實際接觸板金製程
*  包事制度：學長學伴制，讓職場生活更快步上軌道

工作日期：2021/7/5-2021/9/3  (9 週) 
工作時間：08:10~17:30 
休假制度：週休二日
薪資待遇：時薪 160 元 
身份類別：應屆高中畢業生、大學生 
應徵期限：即日起至 2021/6/4 止 
應徵方式：請先將履歷 Email 到 marketing@bliksen.com，或至本公司104人力銀行投遞履歷，我們將會安排面試通知喔!"
16,"  工作内容是檢查，清潔與切割，包裝光學玻璃                            
*** 工作地點: 伸港鄉興工路 ***"
17,"    打掃工廠清潔工作                       "
18,"1.揀貨、理貨分裝
2.商品出貨包裝
3.確認商品數量、盤點
4.支援客服相關問題
5.不定時整理倉庫
6.維持工作區域整潔
7完成主管交辦事宜"
19,"所需工作具備條件
a 反應動作快 有耐心 團隊合作
b 邏輯要好 組織能力強
c 有把東西歸位 整理好的潔癖
d 具備責任感！
e 上班準時,不隨意請假！

工作內容:

1.網路平台(系統)抓單、撿貨核對、理貨出貨
2.商品歸位整理、協助備貨
3.網路購物平台系統操作，訂單確認處理、訂單狀態追蹤
4.售後服務（客訴處理、退換貨處理）
5.庫存管理（進倉商品建檔、進貨、理貨）
6.整理庫存、庫存盤點、 倉儲管理、不良品處理、庫存紀錄管理
7.熟電腦文書處理 ，key in出貨日報表

※無經驗有心想學習電商也歡迎
※團隊合作，具溝通協調能力
※熟悉基本文書處理（ Excel、Word）會使用Buy+1者優先
※對批發零售領域、電子商務、數位行銷之運作有興趣與熱忱者。

條件優異者薪資另議"
20,"捲紙管/製程助理 /製程打包/理貨"
21,"在我們的工作室裡，從事紗網裁切(需準確精準尺寸，精度到1mm內)、黏貼、操作縫紉機將拉鍊縫上去(需要很直、很精密)等手工或機器縫紉工作。如果夠專業及細心，可有正值升遷機會。

資格:
1. 需有縫紉經驗及操作縫紉機經驗，至少2年以上。
2. 因為尺寸1mm精度，所以需要有良好的手力及眼力，還有公司人員都是1980~1990年，需要和這些同事溝通，所以需要找符合此條件的同事。"
22,"有無經驗皆可、肯學習負責
(具倉儲管理經驗者起薪另議)
工作時間 05：30 ~ 8：00
不定期調薪，可提供 2 ~ 8 小時者"
23,"男女不拘、有無經驗皆可
不定期調薪，可提供 6 ~ 8 小時者
工作時間 06：00 ~ 18：00，採排班制"
24,"1. 負責進貨出貨；驗收、清點物流貨物及退貨整理。
2. 以有條理且易取得的方式儲存擺放倉庫中的貨品項目。 
3. 複查庫存的貨物數量與紀錄是否相符，查出不一致之處並更正錯誤。 
4. 利用辨識標籤工具或其他標籤設備，在庫存貨物上做記號。 
5. 定期清潔庫存、工具、設備或貯藏室，以確保貨物整潔。 
6. 協助主管交辦事項，必要時協助處理。
7. 配合度高，願意協助同事並互相幫忙。
 

"
25,"1.負責進貨出貨；驗收、清點物流貨物及退貨整理。
2.以有條理且易取得的方式儲存擺放倉庫中的貨品項目。 
3.複查庫存的貨物數量與紀錄是否相符，查出不一致之處並更正錯誤。 
4.利用辨識標籤工具或其他標籤設備，在庫存貨物上做記號。 
5.定期清潔庫存、工具、設備或貯藏室，以確保貨物整潔。 
6.協助主管交辦事項，必要時協助處理。
7.配合度高，願意協助同事並互相幫忙。
 

"
26,"因應防疫期間，面試時請攜帶口罩。現場會測量體溫。
無經驗可，工作單純。公司都會教導。
1.蛋捲煎製、負責生產線機器設備之操作，並維持機台正常運作。
2.與其他作業員進行協調，以符合生產及程序標準。
"
27,"1.無經驗可

2.肯學習

3.配合度高

4.需配合主管交辦事項"
28,"個人特質需求：細心且有耐心
1.品檢、出貨、包貨。(主要工作)
2.直播訂單彙整
3.倉庫與庫存清點
4.二手衣物品質管理
5.其他主管交辦事項"
29,"1.根據生產流程操作機器
2.維護生產線流程運作順暢 
3.檢查生產程序，做好品管，並協助產品符合標準
4.填寫工作報表 
5.檢查產品暇疵( 具焊錫經驗佳)"
30,"1. 負責生產線機器、設備之操作，並維持機台正常運作。
2. 進行製造現場的產品組裝、檢驗、包裝出貨等作業。
3. 與其他作業員進行協調，以符合生產及程序標準。
4. 填寫生產報表，以檢視與生產目標的距離。
5. 完成主管交辦有關生產產品、程序事宜。
"
31,"1. 協助技術顧問面對企業與一般顧客，回應或直接解決客戶採用包含 iPad、iPhone、Apple TV、Mac 電腦等Apple 設備時會遇到的問題。
2. 協助內部團隊，與團隊共同完成專案目標。
3. 執行主管交付任務。
4. 不需每天上班，可配合學校課程調整上班時間。
5. 表現優異者，畢業可申請轉為正職。"
32,"1.產品包裝
2.工作時間：08:00～17:15，或08:00~12:00、13:15~17:15(以四小時計算)
3.工作地點：正新輪胎大村總廠（彰化縣大村鄉美港路215號）

#到廠面試暫停，一律改採視訊面試
"
33,"1. 電腦整合測試。
2. 系統維護操作。
3. 歡迎對電子產品有興趣者。"
34,"工作內容:
1整理、清點、堆疊貨物 。
2.執行作業區環境整理、清潔維護作業。
3.進行商品入倉、出倉。
4.工讀生(夜校生和大四生可)"
35,"1.依訂單理撿貨、刷貨與出貨
2.會電腦基礎操作者尤佳
3.主管交辦工作

*週休二日*
*工作期間* 暑假期間
*上班時間* 10:00~17:30 
*薪資*時薪 180元 

廠內氣氛和諧 歡迎學生或待業人員來我們這裡打工~"
36,"依圖面製作零件，上班族兼職可，在校生也可(限機械工程相關科系)，會操作傳統銑床(非CNC銑床)。

※時間彈性，每週排班三天，一次排4-8小時。"
37,"1.食品分裝，設備操作、產線包裝作業
2.上下料加工生產
3.撿貨、理貨、貼標、裝箱
4.環境清潔"
38,"1.負責生產線機器、設備之操作，並維持機台正常運作。
2.進行製造現場的產品組裝、檢驗、包裝出貨等作業。
5.完成主管交辦有關生產產品、程序事宜。"
39,"一、協助電商業績統計。
二、協助操作通路平台上下架及平台對帳及產品出入庫。
三、協助完成行銷專案目標。
四、部門報表彙整。
五、完成主管交辦事項。
六、產品包裝轉單
七、包材採購。
"
40,"1.產線入料工作
2.產線包裝工作
3.簡易機台操作
4.主管交辦有關生產線任務
5.各站別支援

➤需配合加班、需搬重物
➤若有實習需求，可來電洽詢"
41,"運籌中心擴大招募兼職倉管人員，時薪優於基本工資，
無經驗者可，可長期配合者優先錄取，工作說明如下：
1. 週一至週五14:00-21:00自行安排上下班時間
2. 每月排班至少需60小時
3. 負責倉儲撿料包裝檢核出貨
4. 工作時間彈性，環境整潔安全
5. 工作地點近長庚桃園分院(林口工四工業區)
6. 公司提供勞健團保"
42,"1.小包裹分類/上架/刷碼/裝箱拉貨等理貨 
(包裹是超商寄件包裹，簡單易上手)


2.上班時間：18:00-作業結束
3.月排休八天 
4.地點 : 金蘭醬油後面 
5.時薪: 160/H 
6.享勞保
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
聯絡時間 
星期一至五早上8:00~下午17:00  (除午休11-12點) 
意者請撥0970-014-910 王小姐 
加入LINE詢問 @findjob "
