"index","工作內容"
1,"於此專區投遞履歷即可應徵飛宏科技股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
其他電子零組件相關業

【公司簡介】
飛宏科技為全球電源供應器之領導廠商，歡迎您加入我們的行列！榮獲TTQS銅牌銀牌之企業~深耕電源產品近50年，為全球十大頂尖的電源供應器供應商之一；為快速服務全球客戶，在加州、紐約、荷蘭、中國和日本以及越南等皆設有服務據點；在中國亦有四個廠房以生產優質產品。公司係以各型電源供應器（power supply）之研發、生產及銷售為主要營業項目，為世界大廠Sony、Huawei、Cisco、Philips、HTC、Nec、Nokia、Epson⋯⋯等所採用電源供應器之主要供應商之一，以研發製造3C產業電源供應器享譽業界，同時公司持續積極創新，開發高效能、高附加價值之產品線與耕耘相關產品客戶。
提供多元化的電源產品能滿足客戶需求，除一般工業用產品皆通過ISO9001品質管理系統認證及產品安規認證外，針對醫療用電源產品也通過ISO13485醫療器材品質管理系統認證，能滿足醫療器材產品終端客戶的要求。同時車用電源及相關車載產品也通過品質業界最高標準IATF16949:2016 汽車業品質管理系統認證，為客戶提供優良的產品品質與完善的售後客戶服務。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《【2021電源人才培育營】-電源助理工程師》
工作地點：桃園
工作內容：
(1)電源供應器測試驗證/設計
(2)支援RD電氣測試
(3)開發前期代用料搜尋與測試
(4)產品工程文件建立及維護
(5)協助工程師工作及分擔工程部門相關事項
(6)科系要求：電機電子工程相關
(7)歡迎 學年/長期配合同學尤佳

2.	《電源研發-實習生》
工作地點：桃園
工作內容：
(1)電源供應器測試驗證
(2)支援RD電氣測試
(3)開發前期代用料搜尋與測試
(4)產品工程文件建立及維護
(5)協助工程師工作及分擔工程部門相關事項
(6)科系要求：電機電子工程相關
(7)歡迎 學年/長期配合同學尤佳


3.	《機構研發技術工讀人員-台南 》
工作地點：台南
工作內容：
(1)機械2D工程圖繪圖
(2)協助建立零件料號
(3)BOM建立與管理。
(4)協助工程師處理專案相關作業
(5)歡迎 學年/長期配合同學尤佳

4.	《研發技術工讀人員-台南》
工作地點：台南
工作內容：
(1)充電樁組立
(2)線材加工
(3)協助建立零件料號
(4)配合彈性出貨之需求
(5)歡迎 學年/長期配合同學尤佳


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。
"
2,"邀請對建築景觀設計與環境思維有熱情的你/妳
協助處理 3D圖面繪製 / 模型製作 / 美術編輯處理 等工作
熟練sketchup, Autocad, photoshop
熟 ArchiCad尤佳
"
3,"1. (必備條件)建築相關科系大三以上。
2. 喜好建築規劃設計，具邏輯整合能力。
3. 富團隊合作精神。
4. 具Archicad繪圖能力尤佳。"
4,"1. 住家及商空水電工程
2. 配管配線
3. 衛浴設備安裝
4. 廚具設備安裝
5. 特殊燈控安裝"
5,"1.協助及配合設計師完成專案
2.繪製基本圖說
3.行政文件協助整理

"
6,"1. 住家及商空水電工程
2. 配管配線
3. 衛浴設備安裝
4. 廚具設備安裝
5. 特殊燈控安裝"
7,"月工作十天左右，排休制，固定日、夜班(07:00-19:00，19:00-07:00)，享勞保及團保。只要肯吃苦，肯打拼，歡迎加入我們行列。"
8,"1.工地現場拍攝紀錄施工過程檢驗停留點、請款必須照片及影片。
2.協助施工前用戶排水調查及與住戶說明。
3.協助現場工程協調及與周邊民眾住戶應對溝通。
4.協助工地領班、工程師及主任處理工地事務
5.遭遇問題協助處理並確實掌握回報。
6.確認並協助每日報表填寫及工地事務推動。
7.其他主管交辦事宜。
PS：工地在台中市區"
9,"1.負責工作區域清潔工作。 
2.負責各樓層資源回收整理及垃圾處理。 
3.負責日常清潔保養工作。 
4.執行其它清潔相關交辦事項。 
6.主管交辦事項。"
10,"LED燈具換裝"
