"index","工作內容"
1,"於此專區投遞履歷即可應徵飛宏科技股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
其他電子零組件相關業

【公司簡介】
飛宏科技為全球電源供應器之領導廠商，歡迎您加入我們的行列！榮獲TTQS銅牌銀牌之企業~深耕電源產品近50年，為全球十大頂尖的電源供應器供應商之一；為快速服務全球客戶，在加州、紐約、荷蘭、中國和日本以及越南等皆設有服務據點；在中國亦有四個廠房以生產優質產品。公司係以各型電源供應器（power supply）之研發、生產及銷售為主要營業項目，為世界大廠Sony、Huawei、Cisco、Philips、HTC、Nec、Nokia、Epson⋯⋯等所採用電源供應器之主要供應商之一，以研發製造3C產業電源供應器享譽業界，同時公司持續積極創新，開發高效能、高附加價值之產品線與耕耘相關產品客戶。
提供多元化的電源產品能滿足客戶需求，除一般工業用產品皆通過ISO9001品質管理系統認證及產品安規認證外，針對醫療用電源產品也通過ISO13485醫療器材品質管理系統認證，能滿足醫療器材產品終端客戶的要求。同時車用電源及相關車載產品也通過品質業界最高標準IATF16949:2016 汽車業品質管理系統認證，為客戶提供優良的產品品質與完善的售後客戶服務。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《【2021電源人才培育營】-電源助理工程師》
工作地點：桃園
工作內容：
(1)電源供應器測試驗證/設計
(2)支援RD電氣測試
(3)開發前期代用料搜尋與測試
(4)產品工程文件建立及維護
(5)協助工程師工作及分擔工程部門相關事項
(6)科系要求：電機電子工程相關
(7)歡迎 學年/長期配合同學尤佳

2.	《電源研發-實習生》
工作地點：桃園
工作內容：
(1)電源供應器測試驗證
(2)支援RD電氣測試
(3)開發前期代用料搜尋與測試
(4)產品工程文件建立及維護
(5)協助工程師工作及分擔工程部門相關事項
(6)科系要求：電機電子工程相關
(7)歡迎 學年/長期配合同學尤佳


3.	《機構研發技術工讀人員-台南 》
工作地點：台南
工作內容：
(1)機械2D工程圖繪圖
(2)協助建立零件料號
(3)BOM建立與管理。
(4)協助工程師處理專案相關作業
(5)歡迎 學年/長期配合同學尤佳

4.	《研發技術工讀人員-台南》
工作地點：台南
工作內容：
(1)充電樁組立
(2)線材加工
(3)協助建立零件料號
(4)配合彈性出貨之需求
(5)歡迎 學年/長期配合同學尤佳


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。
"
2,"於此專區投遞履歷即可應徵台灣房屋仲介股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
不動產經營業

【公司簡介】
台灣房屋以「高品質服務房仲」在地深耕37年，除桃竹大本營的直營體系，更擴及全台發展特許加盟店，為了對消費者提供全方位完整的服務，近年來除了繼續專注本業外，亦積極轉型，朝多元化、國際化發展，台灣房屋以宏觀的角度整合旗下企業，完成以願景領導，組織完善的企業集團。 此外，台灣房屋更購置25公頃土地進行大規模植樹，成立「第一林業」、「友善健康農場」，友善土地、幫助弱勢、照顧同仁，積極用實際行動，實現「愛家‧愛地球」的企業價值。 在全球經濟快速的變動下，台灣房屋領先業界升級為「知識仲介」，首創「房仲服務5.0」專業經紀人員服務。 2016年更升級為「AI機器人智慧個人化服務」即時提供客戶最新市場資訊分析。2020年榮獲桃園市政府金牌企業卓越獎-好福企，並連續12年榮獲「科技服務創新大獎」、「科技創新獎」、「2020情感品牌第一名」房仲大獎。公司提供420小時訓練及4 ~ 6個月育成教育訓練，給予業界直營門市最佳保障薪資、直營門市最佳工作績效獎金，為保障資深業務同仁，薪資高達96,000。以獨家「贏」的訓練，提供各階段進階教育訓練等終身學習福利，幫您啟動贏的人生。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《台灣房屋直營門市-專業不動產經紀人員 》
工作地點：桃園
工作內容：
(1)國內不動產買賣專業服務
(2)全齡化不動產投資管理服務
(3)保障客戶相關售後服務(輻射、海砂預防檢測)由公司專案提供
(4)台灣房屋直營門市錄取，以及各階段升遷，均有考試制度提升專業品質
(5)保障薪資5萬+另加穩定績效獎金

2.	《台灣房屋趨勢中心-專員(內湖) 》
工作地點：台北市內湖區
工作內容：
(1)新聞稿撰寫
(2)人物專訪,撰稿
(3)區域分析報導
(4)新聞發佈
(5)媒體關係連繫
(6)集團公關事務
(7)科系要求：新聞傳播或不動產相關科系大學畢

3.	《科技事業部-資訊工程師(PHP) 》
工作地點：台北市內湖區
工作內容：
(1)台灣房屋官網及後台系統開發與維護
(2)Line chatbot功能應用開發
技術需求：
(1)熟悉LAMP (Linux + Apache + MySQL +PHP)開發環境，能運用JavaScript、AJAX、
JSON等技術
(2)熟悉Restful API
(3)熟悉網站安全性(XSS、CORS、SSRF)的各種問題與解決方法
加分項目：
(1)MySQL資料庫優化經驗
(2)熟悉Laravel framework
(3)具REDIS、Rabbit MQ、WebSocket開發經驗
(4)Azure App Service或GCP平台相關經驗

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
3,"於此專區投遞履歷即可應徵CARMAX_車美仕【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
汽機車及其零配件／用品零售業

【公司簡介】
車美仕CARMAX為和泰汽車成立之TOYOTA授權正廠汽車用品專業公司，負責影音、電子、外觀及內裝等車用產品之開發設計。國內主要客戶為和泰汽車及TOYOTA、LEXUS各經銷商，亦是國瑞汽車認證的唯一汽車用品供應商。車美仕自2001年成立至今，已發展為一國際化企業，除台灣外，市場擴及中國大陸、日本、東南亞、中東、美洲、非洲、俄羅斯等。

【110年新創企業實務培訓職場圓夢計畫】職缺
《車美仕公司學期實習生》
工作地點：桃園
工作內容：
(1)實地演練跟著主管及前輩進行專案
(2)完整公司認識及工作熟悉
(3)實際參與產品測試及開發
(4)簡報及專案報告實作
(5)實習單位-錄取後將依同學專長及面談結果進行分發

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知
2.本計畫將代為投保150小時培訓期間團體保險
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
4,"1. 無經驗、在校生、應屆畢業生可，擁有相關教育背景者佳。 
2. 執行主管交辦事項與行政事務，具基礎文書軟體操作能力。
3. 對數位行銷有熱情，具備資料蒐集、整理及文案撰寫能力尤佳。 
4. 任職期間通過內部評核可轉正職，將依公司敘薪制度享正職薪酬獎勵。
5. 每週須至少4天可排班，每日4～6小時，時段可面談。"
5,"*** 我們並非徵求寒暑假實習，而是長期的實習工作（至少一年以上）；應徵時請您從專長ABC中選擇符合您實際擅長或希望在職時接觸的專長。起碼一類，但不限於一類。並且請您一併提供每週一至週五可以實習的時段，以利我們安排分工。感謝！***

1.內部外部聯繫溝通。
2.協助專案推動。
3.行政庶務、資料建檔、文書處理。
4.執行主管交辦之其它工作。
5.進行網路行銷及服務的成效追蹤。

[專長A：行銷企劃]
具備分析市場、客層分析邏輯推導能力。
思路清晰、文筆流暢，具企畫案撰寫經驗。
口條清晰，具企劃案口述簡報能力。

[專長B：UX設計]
手機App及網頁介面(UI)視覺風格設計。
設計RWD響應式網頁、開發和修改 WordPress & WooCommerce 外掛。
根據 SEO 指標進行網站檢視與分析，並提供具體建議或執行細則。
商品攝影／美術陳列／修圖

[專長C：軟體開發]
熟悉程式語言 C#、python開發環境(Jupyter notebook, Spyder)。
熟悉Visual studio開發環境與ASP.NET框架，具備Azure經驗與MS SQL實作經驗尤佳。
喜歡軟體技術應用發展趨勢、善用開源工具，實現具體商業應用解決方案。
協助維護開源專案 (須嫻熟 github)測試與上架。
協助撰寫開源專案教學文(中文/英文)、並和行銷企劃同仁協作將技術內容轉譯成一般人易懂的內容。
"
6,"1、與相關部門溝通並協助整合Hilti服務相關的流程細節，以統整出各部門的參照標準。
2、協助管理備用機與短租機庫存並將資訊維護至系統中；執行例行性的物料盤點及提供相關報表需求。
3、協助產品經理處理服務相關的季度系統測試與年度內控流程檢驗。"
7,"JS-Adways 擁有良好學習環境，是認識數位行銷產業的最佳舞台。本計畫提供在校學生與業界接軌，錄取同學將從第一線了解數位行銷產業運作，獲得實務經驗。

我們提供完整的實習規劃，透過資深主管一對一指導帶領，實際了解數位產業趨勢及職場運作，進一步明確自身職涯規劃想法。

【實習內容】
1. 學習多元企劃：媒體、廣告、行銷等
2. 創意發想與文案撰寫。
3. 熟悉社群經營：FB、IG、Line等
4. 參予直播、Podcast等操作
5. 協助專案執行。

【條件要求】
1. 對網路生態、廣告行銷、社群有高度興趣及黏著度
2. 想法靈活、具備創意發想的能力
3. 具備團隊精神及良好的溝通能力
4. 抗壓性高、主動積極、耐心負責
4. 基本文書操作及文案撰寫的能力
5. 熱衷追求新的事物，不害怕面對挑戰

【加分項目】
1.有社群經營或管理經驗
2.本身就是內容創作者，有經營自己的社群
3.隨時關注新的廣告文案或企劃
5.具備基礎拍攝及剪輯能力

【實習時間】
暑假7~8月，約8週
每週至少可排班3天，每天上班8小時

【備註說明】
採導師制，實習期間以一對一方式進行指導
實習表現優秀者，將優先轉成正職員工
歡迎大三、大四或研究所在學生"
8,"1. 圖片設計、文案撰寫
Engoo優惠活動或英文學習文案編寫(TOEIC至少需800分以上)用在LINE@貼文串或其他宣傳平台。會使用photoshop/illustrator/Canva等繪圖軟體。(若不會使用但有意願學習也可以)。發想小活動等等

2. 文書工作項目
統整學生資料、競品分析、課程分發、潛在客戶名單統整。


"
9,"1.文案發想
2.市場陌生開發
個性
1.有強烈業務企圖心；幽默，擅長與人溝通，關懷人群。
2.Integrity, Honesty, Intelligent。忠誠，盡忠職守。
3.擅長溝通並協助維持客戶良好關係。"
10,"【工作內容】

＊FB、IG經營
＊圖片設計
＊文案撰寫
＊部落格文章撰寫

【期望你/妳】

＊喜歡關注潮流時話題
＊對文字及美感具敏銳度
＊自動自發
＊細心
＊善與他人溝通
＊一週至少排兩個全天班（8小時x2）

【加分條件】

＊會使用Adobe Photoshop 和Adobe Illustrator
＊多益分數850分以上

【薪資待遇】一小時160

【休閒福利】

＊每月一次康樂活動
＊公司備有筆電
＊可免費使用Engoo一個月8堂一般方案

【備註】本職缺須先完成測試作業，合適者方能進入面試階段。"
