"index","工作內容"
1,"本職務可接受兼職，如想兼職原則採""長期""，例外""短期(需至少2個月)""

【工作內容】
1.協助本公司 FundSwap 基金下單平台，在總經、個經、基金商品之研究與資料彙整。
2.針對新舊客戶執行電訪關懷、開戶協助、產品說明。

【彈性工時】
我們可接受""周一至周五""以下其中一種合作方式：
(1)固定晚班：19:00~22:00。
(2)彈性日班：09:00~18:00之間，彈性日任選連續4個小時的排班，一週至少20小時。

【好好嚴選】
我們公司即將成為台灣「首例」科技業變成金融機構的「純網路證券商」，首波將專注在基金交易業務，已於2020年上線。
相關報導 https://bit.ly/2mqTgjP

與一般金融業不同的是，好好團隊流著 Internet 的DNA，我們正在找人，但尋志同道合，寧缺也不願濫選！不只找員工，更覓共同打拼的事業夥伴。

您應該看得出，我們不同一般公司更認真仔細地徵才，注重每個環節，這是我們做好一件小事的標準，我們是站在世界金融科技風口的團隊，也是「79%」一定會成功的創新公司！這剩下「21%」的不確定，等待優秀且舉足輕重的您來為我們補足，如您只是帶著打工的心態，請不要來！如希望找到環境好，福利佳，能力快速成長的公司，歡迎您來試試看。

【好好徵才】
(以下4項前提，任一未具備者勿投履歷)
1.對有金融科技有興趣與熱情，想參與最夯的金融科技專案。(您現在不需很懂金融，但要有興趣) 。
2.注重細節及使用流程，能從使用者角度思考。
3.具主動、獨立作業與思考能力、執行能力強、勇於跳出框架思考的能力。
4.能有良好溝通表達能力、擇善不固執及團隊精神。

【好好選擇】
1.我們重視使用者為中及工作氣氛，在這講求快速迭代，讓團隊互助合作有成就感！鼓勵主動提案改善，不墨守成規，打造敏捷開發、活力無限、樂在工作的新思維團隊。、
2.我們重視技術人才的培育與職涯發展，提供內部技術交流學習、外部訓練課程(公司出資)，透過不同階段工作安排與規劃，工作輪調機制，培育各領域儲備人才，讓每位員工擁有個人發展舞台與空間。
3.我們重視員工生活，公司提供內外部各項參與社團活動、旅遊補助、電影欣賞等，讓您在工作之餘，可以安排個人休閒娛樂，享受工作，樂於生活。
4.內部環境自由，可自由參與其他大數據、AI、投資理財等學習，不斷增加能力。

【好好薪資】
可採專案計酬、時薪$160~400元等方式，能力更強者，我們願意提供高於一般行情的薪酬，給具價值的您，確切薪資於面試時，將依實際能力/作品/經驗進行為最終核定，工作年資對我們不是非常重要。

【上班地點】金融科技創新園區 (台北市中正區南海路1號13樓)
 [中正紀念堂一號出口，出站一分鐘內就到辦公室] "
2,"不考慮寒暑工讀
長期工讀需6個月以上

1.正航ERP系統操作
2.電話客服回覆
3.無須業務推廣
4.工業類五金產品
5.產品資訊整理

可學習：
1.ERP系統完整操作與概念
2.系統化思考架構
3.上述技能熟悉後，可選擇學習電商營運、攝影、繪圖、或剪輯
"
3,"1. 開發票、資料抄寫、繕打估價單及報表、整理檔案資料
2. 電話接聽
3. 環境清潔
4. 其他臨時交辦事項"
4,"須能配合完整上班時間的實習生。

帳務處理及營業稅、所得稅申報、財務稅務簽證報告查核
須有基礎會計借貸觀念


福利制度：
周休二日
三節獎金
忙季獎金
勞保、健保、退休金"
5,"1. 協助帳務及稅務處理庶務工作. 
2. 一般行政蔗務，協助處理主管交辦事項.
3. 具備細心/耐心/積極主動/負責任之態度
工作時間為每週2天~5天，可以彈性安排，例如每週2天或每週4天等。

# 因工作內容考量，具備下列條件之一者為佳 :
1. 有相關科系背景(管理或商學院)
2. 有相關工作經驗者(財務會計相關工作)"
6,"面對未來超高齡、少子化社會，健康、金錢、生活規劃...
將是老年必須面對的重要問題。尤其2011年後,台灣就成為全世界老化最快的國家,老化,不再是「他們」的事,而是「我們」的事,老化浪潮來襲,
台灣是否已做好準備?你是否做好準備？
勞委會統計,去年月薪成長幅度最大的職業,殯葬服務業名列
第二。
工研院服務業科技應用中心估計,我國銀髮族產業商機市場規模超過1,000億美元。
以上這些與您有什麼關係呢?
微商時代的來臨，每個人都在斜槓但是差別呢？
差異就在於您是消費者還是通路商,
消費者是付費購買,通路商是獲得財富。
這是一份充滿未來有發展的事業,
適合想重新學習出發的你,
在龍巖(上櫃公司)元山處有完整的線上以及主管培訓,
幫助你開創人生的舞台。

陳先生 聯絡電話/Line：0930960409"
7,"職務說明 

此職缺須負責針對大量的金融市場資料進行蒐集、研究及統計，透過可量化的分析結果建立出交易策略來交易各種金融產品。

工作包括：金融商品挑選、資料蒐集與分析、建立統計模型、AI演算法模型、交易策略回測、及策略表現監控。

應備能力
※ 應徵者需具備Coding能力。
※ 歡迎工程、科學、財經領域，或是具備能夠透過軟體程序處理分析大量數據之能力者。

基本要求：
1、喜歡coding
2、學習能力強

加分項（非必要）：
1、winform , WPF等UI經驗
2、網頁前端開發 React,Vue…
3、socket programming
4、mongodb , mySQL
5、docker
6、restful api design
7、git
8、AI，Machine Learning

有經驗者，薪資可討論。
1. 具國內外期貨、選擇權等金融商品交易經驗者佳
2. 熟悉下列一種以上程式：C#、C++、Java、Python、TS、MC、Matlab等
3. 檢附實際交易記錄或回測績效佳



工作說明：
每週工作時數為16小時（可議），需進辦公室辦公，可視個人狀況彈性調整部分時數遠距工作"
8,"您好，這是一個創新有活力的團隊，正在尋覓與眾不同的人才。即使非正職，我們依然重視。

您若具備邏輯思考的能力，可獨立作業解決問題，充滿求知慾與學習力，勇於接受改變，善於變通，不怕多向多方溝通，喜歡團隊合作的默契與氣氛，渴望接觸更多的工作面向，我們歡迎您的加入！

本職位主要的任務如下：
1.協助一般文書資料處理工作。
2.協助公司內部行政庶務。
3.協助會計帳務作業。
4.主動積極，有責任感。
5. 臨時性交辦事務。

希望與您一起建立充分溝通、差異化思考，朝知識管理的方向共同成長，也期許隨著您的實務經驗累積，與公司同步提升，共創價值。
"
9,"歡迎想成為會計人的朋友加入我們的行列
1.電腦記帳:帳務傳票登打及整理 (無經驗者可經內部教育系統進行學習)。
2.資料整理:稅務資料整理及查核。
3.稅務申報:營業稅、營所稅、暫繳申報、扣免繳申報，及其他稅務工作。
4.其他事項:協助主管交辦事項。
具備能力:基礎會計、電腦打字、文件處理。
工作態度:有熱忱、開朗、具備上進心、抗壓性高、負責任、高EQ、積極主動。
試用期滿依照專業及工作能力調整薪資。"
10,"1.記帳作業
2.稅務申報
3.查帳作業.
4.所內庶務行政
"
