"index","工作內容"
1,"於此專區投遞履歷即可應徵台灣房屋仲介股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
不動產經營業

【公司簡介】
台灣房屋以「高品質服務房仲」在地深耕37年，除桃竹大本營的直營體系，更擴及全台發展特許加盟店，為了對消費者提供全方位完整的服務，近年來除了繼續專注本業外，亦積極轉型，朝多元化、國際化發展，台灣房屋以宏觀的角度整合旗下企業，完成以願景領導，組織完善的企業集團。 此外，台灣房屋更購置25公頃土地進行大規模植樹，成立「第一林業」、「友善健康農場」，友善土地、幫助弱勢、照顧同仁，積極用實際行動，實現「愛家‧愛地球」的企業價值。 在全球經濟快速的變動下，台灣房屋領先業界升級為「知識仲介」，首創「房仲服務5.0」專業經紀人員服務。 2016年更升級為「AI機器人智慧個人化服務」即時提供客戶最新市場資訊分析。2020年榮獲桃園市政府金牌企業卓越獎-好福企，並連續12年榮獲「科技服務創新大獎」、「科技創新獎」、「2020情感品牌第一名」房仲大獎。公司提供420小時訓練及4 ~ 6個月育成教育訓練，給予業界直營門市最佳保障薪資、直營門市最佳工作績效獎金，為保障資深業務同仁，薪資高達96,000。以獨家「贏」的訓練，提供各階段進階教育訓練等終身學習福利，幫您啟動贏的人生。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《台灣房屋直營門市-專業不動產經紀人員 》
工作地點：桃園
工作內容：
(1)國內不動產買賣專業服務
(2)全齡化不動產投資管理服務
(3)保障客戶相關售後服務(輻射、海砂預防檢測)由公司專案提供
(4)台灣房屋直營門市錄取，以及各階段升遷，均有考試制度提升專業品質
(5)保障薪資5萬+另加穩定績效獎金

2.	《台灣房屋趨勢中心-專員(內湖) 》
工作地點：台北市內湖區
工作內容：
(1)新聞稿撰寫
(2)人物專訪,撰稿
(3)區域分析報導
(4)新聞發佈
(5)媒體關係連繫
(6)集團公關事務
(7)科系要求：新聞傳播或不動產相關科系大學畢

3.	《科技事業部-資訊工程師(PHP) 》
工作地點：台北市內湖區
工作內容：
(1)台灣房屋官網及後台系統開發與維護
(2)Line chatbot功能應用開發
技術需求：
(1)熟悉LAMP (Linux + Apache + MySQL +PHP)開發環境，能運用JavaScript、AJAX、
JSON等技術
(2)熟悉Restful API
(3)熟悉網站安全性(XSS、CORS、SSRF)的各種問題與解決方法
加分項目：
(1)MySQL資料庫優化經驗
(2)熟悉Laravel framework
(3)具REDIS、Rabbit MQ、WebSocket開發經驗
(4)Azure App Service或GCP平台相關經驗

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
2,"1.測試與驗證系統功能、相容性、效能、壓力承載、可靠度等。  
2.分析測試資料、釐清問題、提出改善建議，並撰寫測試報告。
3. 執行專案測試工作。
"
3,"普匯金融科技
金控集團投資
多家銀行合作
未來AI金融科技獨角獸

招募【系統PM實習生】
職務需求:
1.對Fintech產業或專案管理有興趣者
2.資管或資工相關科系
3. 大三或大四佳
4.熟悉UML工具使用

工作內容:
1.協助主管安排規畫金融科技專案
2.製作系統規格書
3.資料收集與彙整
4.製作科技系統會議資料
5.主管交辦事項

"
4,"普匯金融科技
金控集團投資
多家銀行合作
未來AI金融科技獨角獸

招募【系統實習生】

1. 熟悉Python
2. 能獨立完成交付之專案開發。 
3. 需要良好的溝通能力、協調能力和學習能力，具備團隊合作精神，工作態度積極。
4. 有機會接觸爬蟲專案：分析靜(動)態網頁結構，解析網頁數據，撰寫爬蟲程式
5. 有機會接觸影像辨識專案：協助處理證件ocr、Api串接
6. 有機會接觸Machine Learning專案: 協助系統開發及優化模型

【加分條件】
- 有以上相關專案開發經驗者佳
- 曾運用自動化測試工具
- 曾運用自動化部署工具
- 曾用Python 串接資料庫系統
- 曾參與開源程式碼開發
- 熟 php, CodeIgniter "
5,"普匯金融科技
金控集團投資
多家銀行合作
未來AI金融科技獨角獸

招募【前端實習生】

1. 熟悉html, css, Vue.js
2. 能獨立完成交付之專案開發。 
3. 需要良好的溝通能力、協調能力和學習能力，具備團隊合作精神，工作態度積極。

【加分條件】
- 有RWD相關開發經驗者佳
- 曾運用自動化測試工具
- 曾運用自動化部署工具
- 曾參與開源程式碼開發"
6,"1.技術研發實習生：APP/Web/後端/區塊鏈開發與測試。
2.資工/資管相關科系尤佳，無經驗可。 
3.工作態度積極、負責，願意主動學習並重視團隊合作。 
4.一週可上班時數至少20小時以上。"
7,"工作內容：
1. 維護系統
2. 客戶服務上架流程處理與控制
3. 參與產品客服線上系統規劃

學歷：
大學進修部在職生或畢業生，科系不拘

技能需求：
- 3 年以上互聯網公司網路程式設計相關經驗 
- 具有 GCP 使用經驗，需熟悉 Firebase。
- 熟悉 PHP, Laravel, Linux, MySQL,
- 具 chatbot 開發經驗者尤佳"
8,"【特色】
可於在校期間獲得業界經驗、專案實務操作、累積精彩履歷作品。
【工作內容】
1.負責網站後端程式撰寫設計
2.規劃執行系統架構及模組之設計
3.進行軟體之測試與修改
4.協助研發軟體新技術與新工具

【技能需求】
1.掌握後端程式開發語言(ASP.NET或PHP其中一項)
2.掌握MySQL/SQL Server資料庫
3.熟悉Linux系統的伺服器架設/Windows Server系列的設定與IIS架設

【加分條件】
1.面試時請務必攜帶作品集，以能看到程式碼為主，線上作品(網頁)尤佳
2.前端網頁技術"
9,"【工作內容】
1.網頁端專案開發
2.網頁改版與維護 
3.參與 UI 使用流程與 API 制定

【技能需求】
1.掌握 HTML5, CSS, JavaScript(或諸如JQuery之類的套件)開發技術
2.RWD 或手機版網頁相關經驗(可使用Bootstrap等)
3.可獨立作業

【加分條件】
1.面試時請務必攜帶作品集，以能看到程式碼為主，線上作品(網頁)尤佳
2.有 ES6、Webpack 使用經驗，至少熟悉一種前端框架（Vuejs / React.js / Angular.js），並有一個以上的產品開發經驗
3.可長期配合"
10,"職務說明 

此職缺須負責針對大量的金融市場資料進行蒐集、研究及統計，透過可量化的分析結果建立出交易策略來交易各種金融產品。

工作包括：金融商品挑選、資料蒐集與分析、建立統計模型、AI演算法模型、交易策略回測、及策略表現監控。

應備能力
※ 應徵者需具備Coding能力。
※ 歡迎工程、科學、財經領域，或是具備能夠透過軟體程序處理分析大量數據之能力者。

基本要求：
1、喜歡coding
2、學習能力強

加分項（非必要）：
1、winform , WPF等UI經驗
2、網頁前端開發 React,Vue…
3、socket programming
4、mongodb , mySQL
5、docker
6、restful api design
7、git
8、AI，Machine Learning

有經驗者，薪資可討論。
1. 具國內外期貨、選擇權等金融商品交易經驗者佳
2. 熟悉下列一種以上程式：C#、C++、Java、Python、TS、MC、Matlab等
3. 檢附實際交易記錄或回測績效佳



工作說明：
每週工作時數為16小時（可議），需進辦公室辦公，可視個人狀況彈性調整部分時數遠距工作"
