"index","工作內容"
1,"1.巡邏建築物與周遭環境，留意可疑線索，確保門窗安全。
2.回應警報器並且調查引起警鈴的原因。
3.保護被保全之人或物的安全。
4.由監視器畫面監看出入份子，以確保建築物安全。
5.給予意圖不良人士或入侵者警告，必要時報警處理。"
2,"1. 具飯店式或國內旅館前檯服務經驗尤佳。
2. 執行安全、環境、設備、接待貴賓等管理事項。
3.為人溫和,謙恭有禮.溫文儒雅具有服務熱忱者優先錄取。
4.需備良民證。
"
3,"紅包輕鬆賺-隨時隨地 展開被動式收入
在５０００億的市場　賺取被動式的永續收入
住 是民生必需 人人都有這個需求～租屋、買屋、售屋、招租、投資等
你會需要　你所認識的人也會需要  我們的客戶也需要 只要服務好有需求的客戶　
就能得到你的豐厚報酬　還能建立你的人脈黃金存摺

生活集團是合法專業的仲介＋租管服務業者　非一般純仲介業
生活集團保證提供你　永續被動收入：個人成交獎金Ⅰ代管獎金Ⅰ組織發展輔導獎金
所以　收入是逐月遞增　穩定發展　
加入生活，賺進人生的多桶金，做為你圓夢的開始，享受富裕的樂活人生。 

工作內容： 
1.物件租賃Ⅰ買賣 的客戶經營 
2.買賣仲介及租賃業務執行 
3.有關銷售及租賃房屋之資料收集 
4.協助客戶簽訂租賃契約或財產轉移手續 
5.協助客戶比較各家銀行的優惠貸款，從中選出最優惠的方式 
6.知悉銷售和出租的條款和注意事項
7.續年度客戶服務 
8.租賃管理服務介紹說明
9.租客福利方案評估建議

成功之路： 完整教育訓練+ 資深顧問師徒制～帶領你從生澀到獨當一面

你只需要收集社區中屋主要 出租 及 出售 的正確資訊回報給公司即可! 
公司即會奉上優渥報酬 酬謝你的有利情資喔. 
來函請註明 你所居住的社區名稱 及正確地址 

發展遠景：
合作期間表現良好
可以用特別專案升格為樂租顧問
佣金賺更多"
4,"紅包輕鬆賺-隨時隨地 展開被動式收入
在５０００億的市場　賺取被動式的永續收入
住 是民生必需 人人都有這個需求～租屋、買屋、售屋、招租、投資等
你會需要　你所認識的人也會需要  我們的客戶也需要 只要服務好有需求的客戶　
就能得到你的豐厚報酬　還能建立你的人脈黃金存摺

生活集團是合法專業的仲介＋租管服務業者　非一般純仲介業
生活集團保證提供你　永續被動收入：個人成交獎金Ⅰ代管獎金Ⅰ組織發展輔導獎金
所以　收入是逐月遞增　穩定發展　
加入生活，賺進人生的多桶金，做為你圓夢的開始，享受富裕的樂活人生。 

工作內容： 
1.物件租賃Ⅰ買賣 的客戶經營 
2.買賣仲介及租賃業務執行 
3.有關銷售及租賃房屋之資料收集 
4.協助客戶簽訂租賃契約或財產轉移手續 
5.協助客戶比較各家銀行的優惠貸款，從中選出最優惠的方式 
6.知悉銷售和出租的條款和注意事項
7.續年度客戶服務 
8.租賃管理服務介紹說明
9.租客福利方案評估建議

成功之路： 完整教育訓練+ 資深顧問師徒制～帶領你從生澀到獨當一面

你只需要收集社區中屋主要 出租 及 出售 的正確資訊回報給公司即可! 
公司即會奉上優渥報酬 酬謝你的有利情資喔. 
來函請註明 你所居住的社區名稱 及正確地址 

發展遠景：
合作期間表現良好
可以用特別專案升格為樂租顧問
佣金賺更多"
5,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：台北市大安區敦南街

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：週二~週日 1300-1900

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952-182-918 找『楊督導』。
三、LINE-lD 0952182918"
6,"救生員：
1. 負責泳池活動等之安排與執行。
2. 保持游泳池之清潔維護、保養及安全。
3. 各類活動安全維護。
4. 水池設施加藥、清潔及維護。
5. 其他上級主管交辦事項。"
7,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、台北市內湖區康寧路
二、台北市內湖區民權東路
三、台北市內湖區成功路五段
四、台北市金湖路

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、6、7月六日1000-1200、1330-1930
        7、8月二～日1000-1200、1330-1930
二、6月五～日9000-1900
       7、8月 五六9000-2100、日9-19
三、7、8月二-日1000-2200
       9、10月 三、五1400-2200、六日1000-2200
四、5月一-日0600-1200、1400-213
✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952-182-918 找『楊督導』。
三、LINE-lD 0952182918"
8,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、南港區經貿二路157巷
二、南港區經貿二路235巷
三、南港區東新街

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、二~日 0600-1200、1300-1800、1900-2200

二、二～五1300-1800
        六日1000-1200、1300-1800、1900-2200

三、二～五1300-1800、1900-2200
        六日1000-1200、1300-1900
✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952-182-918 找『楊督導』。
三、LINE-lD 0952182918"
9,"游泳教練：
1. 負責泳池活動等之安排與執行。
2. 教學方案表、學員名單。
3. 其他上級主管交辦事項。
4. 具備C級教練證。
5. 水中安全教育、專頁游泳教學。"
10,"月工作十天左右，排休制，固定日、夜班(07:00-19:00，19:00-07:00)，享勞保及團保。只要肯吃苦，肯打拼，歡迎加入我們行列。"
11,"1.門禁管制2.安全維護3.巡邏打卡4.臨時交辦事項
	                                                      
"
12,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、板橋大遠百旁
二、板橋五權公園旁

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：依社區規定

✔休假制度：依公司規定

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0956066568 找『林督導』。
三、LINE-lD 0956066568"
13,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：台北市松山區（敦北公園旁）

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、週二~週五 1500-2100 
        週六~週日 1000-1200, 1400-2000

✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952-094-568 找『林督導』。
三、LINE-lD 0952094568"
14,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：台北市中山區
一、中山北路二段
二、南京東路二段
三、農安街
四、建國北路二段
五、樂群三路

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、5、9、10月週二~週日 1800-2200
6、7、8月週二~週五 1800-2200、週六~週日 1600-2200

二、週一~週五 1500-2200、週六~週日 1200-2200

三、週二~周四1100-2100、週五~週日1000-2200

四、週五~週三 1000-2200

五、六日 1400-2200



✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952-094-568 找『林督導』。
三、LINE-lD 0952094568"
15,"1.維持泳池客戶安全與管理
2.機房巡視與基礎操作
3.水質管理與藥劑添加
5.主管交辦事項處裡
6.環境維護清潔"
16,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、新北市淡水區（紅樹林捷運站旁）
二、新北市淡水區（紅樹林捷運站旁）
三、新北市淡水區（紅樹林捷運站旁）
四、新北市淡水區沙崙路一段
五、新北市淡水區沙崙路一段
六、新北市淡水區淡金路
七、新北市淡水區淡金路二段
八、新北市淡水區淡金路二段
九、新北市淡水區中正東路二段
十、新北市淡水區中山北路三段
十一、新北市淡水區鄧公路
十二、新北市淡水區學府路
十三、新北市淡水區沙崙路一段
十四、新北市淡水區淡金路
十五、新北市淡水區濱海路三段
十六、新北市淡水區新市一路三段

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
五月起 周二至周日  10:00 ~ 22:00
(依社區開放時間)

✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵：0939-186-918 找『李督導』。
三、LINE-lD：0939186918 "
17,"即日起新北市~淡水區~兼職救生員

需求人數：	2~4人

職務類別：	救生員

職務說明：	【鴻陽運動事業，專業、服務、品質】歡迎您的加入！

誠徵：守時、態度佳、負責任、主動學習、配合度高救生員

工作地點:新北市淡水區

工作時段：

週二~週五  09:00~22:00



星期一休館

時薪：180起

工作內容:
1-執行服務品質手冊表單內容
2-協助游泳教學相關業務推廣

應徵方式:
一、直接於網路投遞履歷。
二、電話應徵：0939-186-918 找『李督導』。
三、LINE-lD：0939186918"
18,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：新北市土城區(清水街附近)

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
六、九月 週五~週日0900-1200、1300-1700、1800-2100
七、八月 周二~週日0900-1200、1300-1700、1800-2100

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0956066568 找『林督導』。
三、LINE-lD 0956066568"
