"index","工作內容"
1,"(1) 門市產品銷售
(2) 專業衛教諮詢、學習醫療相關知識
(3) 顧客服務
(4) 商品陳列管理
"
2,"(1) 門市產品銷售
(2) 專業衛教諮詢、學習醫療相關知識
(3) 顧客服務
(4) 商品陳列管理
"
3,"(1) 門市產品銷售
(2) 專業衛教諮詢、學習醫療相關知識
(3) 顧客服務
(4) 商品陳列管理
"
4,"櫃檯行政工作、協助醫師跟診、環境及器械清潔消毒、牙材管理及健保申報"
5,"＊須有藥局/藥妝門市經驗者
＊歡迎食品營養、護理、藥學、醫學技術及檢驗科系相關者加入我們！

(1) 門市商品銷售、產品知識諮詢
(2) 專業衛教諮詢
(3) 顧客服務並建立客戶與維護關係
(4) 協助藥師鍵入處方箋相關作業
(5) 協助商品庫存管理、上架、陳列、盤點及清潔
(6) 配合門市活動及參與小區教育訓練
(7) 有藥局門市經驗者尤佳"
6,"

一技在手 夢想到手
無經驗想跨行轉業有毅力決心服務熱忱
渴望學習一技之長有持續性穩定收入者
老點王挑戰百萬年薪月收入達五萬以上
課程結訓頒發協會証書及輔導國家考試認証
結訓優異者保証就業

你/妳 
還在找工作 
拿著跟別人一樣的履歷、大家看起來都差不多的學歷 
等著被面試領著跟大家差不多的薪水嗎？ 
就從這一刻開始改變 
來學個終生受用、月入四、五萬以上的一技之長吧！ 
 
 
手舞足道集團旗下有餐飲品牌，運動健身、休閒品牌 
休閒品牌更有春不荖、不老松、足松養生行館、勁桑元氣保養所，全台目前有11間分館 
 
休閒養生產業有前瞻或未來性嗎？ 
『腳底按摩』繼珍珠奶茶後另一個台灣聞名國際《特產》，日本人來台旅遊套裝行程中，故宮、溫泉和腳底按摩店是他們要求必訪的三點；腳底按摩店也和茶葉、烏魚子並列，成了日本人來玩必體驗的「台灣三寶」 
 
更隨著預防醫療保健的觀念抬頭 
運動與養生按摩更是日漸風行 
 
我們的課程宗旨 
無論有無經驗、不限任何學經歷 
只要對養身按摩有興趣，或期望能習得可以受用終生的一技之長 
 
[課程內容] 
腳底按摩手法、流程、腳底反射區論述 
身體指油壓手法、流程、刮痧、經絡概論 
服務優化、應對訓練、職業道德、職場倫理、職場相關規定、凝聚力培養 
 
想學習一技之長或、中年轉業、二度就業皆可，視個人身體狀況考量，可負擔的體力範圍內方可報名。 
 
對此行業有興趣者，歡迎投遞履歷，我們將有進一步的說明"
7,"(1) 門市產品銷售
(2) 專業衛教諮詢、學習醫療相關知識
(3) 顧客服務
(4) 商品陳列管理
(5) 每月排班至少80小時、平假日皆需配合排班


通過考核調薪170起，每月額外另享紅利金！
＊具有醫護相關執照/醫護科系每月另有加給"
8,"1.基本護理照顧：打針、給藥、換藥、生理徵象評估與記錄
2.記錄病患用藥記錄和各種病徵
3.住民看診、就醫之安排與協調
4.與各專業人員跨團體協調並進行照護
5.護理文書評估記錄及機構評鑑文件相關之準備"
9,"(1) 門市產品銷售、商品陳列管理
(2) 專業衛教諮詢、學習醫療相關知識
"
10,"(1) 門市產品銷售
(2) 專業衛教諮詢、學習醫療相關知識
(3) 顧客服務
(4) 商品陳列管理
(5) 每月排班至少80小時、平假日皆需配合排班

通過考核調薪170起，每月額外另享紅利金！
＊具有醫護相關執照/醫護科系每月另有加給"
11,"(1) 門市產品銷售
(2) 專業衛教諮詢、學習醫療相關知識
(3) 顧客服務
(4) 商品陳列管理
(5) 每月排班至少80小時、平假日皆需配合排班

通過考核調薪170起，每月額外另享紅利金！
＊具有醫護相關執照/醫護科系每月另有加給"
12,"(1) 門市產品銷售
(2) 專業衛教諮詢、學習醫療相關知識
(3) 顧客服務
(4) 商品陳列管理
"
13,"(1) 門市產品銷售、商品陳列管理
(2) 專業衛教諮詢、學習醫療相關知識
"
14,"(1) 門市產品銷售
(2) 專業衛教諮詢、學習醫療相關知識
(3) 顧客服務
(4) 商品陳列管理
(5) 每月排班至少80小時、平假日皆需配合排班

通過考核調薪170起，每月額外另享紅利金！
＊具有醫護相關執照/醫護科系每月另有加給"
15,"(1) 門市產品銷售
(2) 專業衛教諮詢、學習醫療相關知識
(3) 顧客服務
(4) 商品陳列管理
"
