"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
1,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
2,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
3,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
4,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
5,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
6,"應屆畢業生、日間就讀中、外籍人士、二度就業、學生實習"," 不拘 "," 專科、大學、碩士 "," 英美語文相關 "," 不拘 "," 不拘 "," 不拘 "
7,"應屆畢業生、日間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 英美語文相關、其他外國語文相關 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  日文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 ","Windows 2003、Excel、Word、中文打字75~100、英文打字100~125","商業信用狀分析、貿易單據製作、進出口作業流程控管、熟悉進出口業務、客戶資料更新維護"
8,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 不拘 ","Excel、Word、中文打字20~50","行政事務處理、電話接聽與人員接待事項、文件或資料輸入建檔處理"
9,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 1年以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
10,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 不拘 "," 不拘 ","市場調查企劃與執行、廣告企劃案╱文案撰寫、各式影片剪接後製作業"
11,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
12,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 1年以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
13,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 1年以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
14,"上班族、應屆畢業生、夜間就讀中、原住民 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
15,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word","客戶情報蒐集、客訴案件處理、產品諮詢與服務"
16,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
