"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
1,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
2,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
3,"夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
4,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、高齡 、學生實習"," 不拘 "," 高中以下、高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 ","服裝樣式排版與裁剪、各式男裝／女裝之開版及打樣"
5,"上班族、應屆畢業生、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
6,"上班族、應屆畢業生、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 ","Excel、Outlook、PowerPoint、Word、中文打字50~75、英文打字50~75、Adobe Photoshop"," 不拘 "
7,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
8,"上班族、應屆畢業生、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 1年以上 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
9,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、更生人、學生實習歡迎顏面損傷的身心障礙人士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
10,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
11,"上班族、應屆畢業生、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
12,"二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
13,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 不拘 ","Excel、Word"," 不拘 "
14,"應屆畢業生、夜間就讀中、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 ","Excel、Word"," 不拘 "
15,"應屆畢業生、日間就讀中、夜間就讀中、外籍人士、二度就業、更生人、學生實習"," 不拘 "," 高中、專科、大學 "," 電機電子工程相關、工業工程相關、機械工程相關 "," 不拘 ","Excel、Word、中文打字50~75","達成產能及出貨目標、貨品包裝作業"
16,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
17,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
18,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、學生實習"," 不拘 "," 不拘 "," 機械工程相關 "," 不拘 "," 不拘 "," 不拘 "
19,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
20,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
21,"夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 工程學科類、日文相關科系、資訊管理相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  日文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 ","作業系統基本操作"
22,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
23,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
24,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
25,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
26,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
27,"應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word、中文打字20~50","行政事務處理、電話接聽與人員接待事項、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、達成產能及出貨目標、倉庫貨物標示╱置放╱盤點、倉儲系統維護與管理、貨品包裝作業、商品收貨╱退貨作業、貨物運送與資材配送"
28,"上班族、應屆畢業生、日間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
29,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
30,"上班族、應屆畢業生、日間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
31,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 ","Excel、Word","倉庫貨物標示╱置放╱盤點、貨品包裝作業、商品收貨╱退貨作業、理貨╱揀貨╱補貨作業、貨物運送與資材配送、簽收╱驗收作業"
32,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、中壯齡 、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
33,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
34,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
35,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 電機電子工程相關、機械工程相關、電機電子維護相關 "," 不拘 "," 不拘 "," 不拘 "
36,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 1年以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
37,"上班族、應屆畢業生、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、更生人、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
38,"上班族、應屆畢業生、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、更生人、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
39,"上班族、日間就讀中、外籍人士、學生實習"," 不拘 "," 高中、專科 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
40,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以下、高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
41,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 1年以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
42,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
43,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 ","水泥粉刷飾面作業、表面修繕與塗裝工程"
44,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
45,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
46,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
47,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
48,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 ","水泥粉刷飾面作業、表面修繕與塗裝工程"
49,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、更生人、學生實習"," 2年以上 "," 高中以下、高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
50,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 機械工程相關、電機電子工程相關 "," 不拘 ","Windows 7、Excel、Word"," 不拘 "
51,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、中壯齡 、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
