"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
1,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
2,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 英文 -- 聽 /中等、說 /略懂、讀 /中等、寫 /略懂 ","Adobe Photoshop、Illustrator、AutoCAD、Sketch up、ArchiCAD","建築計畫與設計"
3,"學生實習"," 不拘 "," 大學、碩士 "," 建築相關 "," 不拘 ","AutoCAD、Sketch up、ArchiCAD","建築圖識圖與繪圖"
4,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 ","電動機及電氣相關知識、配電裝修維護、機務維修保養、配電裝修技能、配電器材搬運、管渠及其附屬設備維修、導線槽裝置及配線、工程現況描繪、水電相關圖表繪製、室內設計施工圖繪製"
5,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 建築相關、其他建築及都市規劃學類 "," 不拘 ","Adobe Photoshop、AutoCAD、Sketch up","建築圖識圖與繪圖"
6,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 ","電動機及電氣相關知識、配電裝修維護、機務維修保養、配電裝修技能、配電器材搬運、導線槽裝置及配線、電工儀表裝置及使用、截流站操作、維護、廢物處理系統操作"
7,"上班族、應屆畢業生、研發替代役、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
8,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 土木工程相關、測量工程相關、建築相關 "," 不拘 ","Excel、Word、中文打字20~50"," 不拘 "
9,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
10,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以下、高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
11,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 ","水泥粉刷飾面作業、表面修繕與塗裝工程"
12,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 ","水泥粉刷飾面作業、表面修繕與塗裝工程"
13,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 ","建築物與週邊物清潔、環保資源回收作業"
14,"上班族、應屆畢業生、夜間就讀中、中壯齡 、中高齡 、學生實習"," 不拘 "," 大學、碩士 "," 土木工程相關、建築相關、都巿規劃相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","AutoCAD","工地行政相關報表製作、建築計畫與設計、工程協調與問題處理、工程管理、工地工程稽核與驗收、工程施工監督管理、工程管理-品質管理、工程估驗與計價、工程標單估算、工程圖識圖與繪圖、室內設計施工圖繪製、發包圖說繪製整理"
