"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
1,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
2,"應屆畢業生、學生實習"," 不拘 "," 大學、碩士 "," 藥學相關 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 ","新藥研發實驗規劃執行"
3,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
4,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 電機電子工程相關、資訊工程相關 "," 不拘 "," 不拘 "," 不拘 "
5,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
6,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
7,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 環境工程相關、化學工程相關、土木工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、PowerPoint、Power BI​、RoHS","文書處理╱排版能力、報表彙整與管理、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、專案時間╱進度控管、負責文件更新、發行、審核與跟催作業、文書處理軟體操作、電子試算表軟體操作、簡報軟體操作、協助ISO／OHSAS與環保相關認證工作、工作安全與環保衛生"
8,"學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 大學以上 "," 不拘 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 "," 不拘 "," 不拘 "
9,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 電機電子工程相關、機械工程相關、電機電子維護相關 "," 不拘 "," 不拘 "," 不拘 "
10,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
11,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
12,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
13,"上班族、應屆畢業生、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
14,"學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
15,"學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
16,"學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
17,"學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
18,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 電機電子維護相關、機械維護相關、工程學科類 "," 不拘 "," 不拘 "," 不拘 "
19,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 工程學科類、數學及電算機科學學科類、電機電子維護相關 "," 不拘 "," 不拘 "," 不拘 "
20,"學生實習"," 不拘 "," 大學、碩士 "," 材料工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Excel、Outlook","協助改善產品良率、實驗室設備操作、材料評估測試、產品材料分析"
21,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習歡迎肢體障礙(下肢)(中度)的身心障礙人士 "," 不拘 "," 高中以上 "," 電機電子維護相關、資訊工程相關 "," 不拘 "," 不拘 "," 不拘 "
22,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 數學及電算機科學學科類、電機電子工程相關 "," 英文 -- 聽 /精通、說 /精通、讀 /中等、寫 /中等 ","C、C++、Python"," 不拘 "
23,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
24,"學生實習"," 不拘 "," 大學、碩士 "," 電機電子工程相關、通信學類、電機電子維護相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Cadence Allegro、OrCAD"," 不拘 "
25,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 1年以上 "," 高中、專科、大學 "," 電機電子工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力"," 不拘 "," 不拘 "
26,"學生實習"," 不拘 "," 大學、碩士 "," 電機電子工程相關、電機電子維護相關、數學及電算機科學學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Cadence Allegro、OrCAD"," 不拘 "
27,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
28,"學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 大學、碩士 "," 通信學類、電機電子工程相關 "," 不拘 "," 不拘 "," 不拘 "
29,"學生實習"," 不拘 "," 大學、碩士 "," 物理學相關、電機電子工程相關、機械工程相關 "," 不拘 ","Excel、Outlook、PowerPoint、Word"," 不拘 "
30,"學生實習"," 不拘 "," 大學、碩士 "," 電機電子工程相關、商業及管理學科類、數學及電算機科學學科類 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 "," 不拘 ","文書處理軟體操作"
31,"學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關、機械維護相關、材料工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","AutoCad 2D、AutoCad 3D、Pro/E、SolidWorks"," 不拘 "
32,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 碩士以上 "," 材料工程相關、電機電子工程相關、光電工程相關 "," 不拘 "," 不拘 "," 不拘 "
33,"學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關、機械維護相關、材料工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 ","AutoCad 2D、AutoCad 3D、Pro/E、SolidWorks"," 不拘 "
34,"學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關、機械維護相關、材料工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","AutoCad 2D、AutoCad 3D、Pro/E、SolidWorks"," 不拘 "
35,"學生實習"," 不拘 "," 大學、碩士 "," 物理學相關、工程學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Cadence Allegro"," 不拘 "
36,"學生實習"," 不拘 "," 大學、碩士 "," 工業技藝及機械學科類、工程學科類、自然科學學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","Excel、PowerPoint、Word"," 不拘 "
37,"夜間就讀中、研發替代役、學生實習"," 1年以上 "," 高中以下、高中、專科、大學 "," 工程學科類、數學及電算機科學學科類 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 ","Linux","伺服器網站管理維護、作業系統基本操作、資料備份與復原、資訊設備操作檢修、資訊設備環境設定、功能測試(function test)、軟體整合測試、硬體整合測試、測試計劃及測試報告書撰寫、資料庫系統管理維護"
38,"應屆畢業生、日間就讀中、夜間就讀中、研發替代役、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 電機電子工程相關、其他工程相關、光電工程相關 "," 不拘 "," 不拘 "," 不拘 "
39,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關、電機電子工程相關、材料工程相關 "," 不拘 "," 不拘 "," 不拘 "
40,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 ","AutoCAD、Sketch up","工程圖識圖與繪圖、建築圖識圖與繪圖"
41,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
42,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 電機電子工程相關、資訊管理相關、資訊工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力"," 不拘 "," 不拘 "
