"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
1,"日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 商業及管理學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、PowerPoint、Word"," 不拘 "
2,"上班族、應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 會計學相關、企業管理相關、一般商業學類 "," 不拘 ","Excel、PowerPoint、Word"," 不拘 "
3,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 會計學相關、財稅金融相關、一般商業學類 "," 不拘 "," 不拘 ","代辦會計相關事項"
4,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word","行政事務處理"
5,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 商業及管理學科類、法律學科類、醫藥衛生學科類 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力","Excel、PowerPoint、Word"," 不拘 "
6,"上班族、應屆畢業生、夜間就讀中、原住民 、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂  台語 -- 略懂 贊助提升語文能力","Adobe Acrobat、Excel、Outlook、PowerPoint、Word、文中系統","文件收發與檔案管理、文書處理╱排版能力、行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、財務報表製作、代辦會計相關事項、結帳作業與帳務處理、會計核算和帳務處理、編製帳務報表"
7,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
8,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂  台語 -- 略懂 ","Excel、Outlook、Word","文件收發與檔案管理、文書處理╱排版能力、行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、零用金管理、結帳作業與帳務處理、會計核算和帳務處理、編製帳務報表、訂單╱管理報表製作、運送費用報價與收費、點收╱代收貨款作業"
9,"上班族、應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
10,"學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力","Excel、Outlook、PowerPoint、Word"," 不拘 "
11,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力","Excel、PowerPoint、Word"," 不拘 "
12,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 ","Windows 10、Adobe Acrobat、Excel、PowerPoint、Word、中文打字20~50","文件收發與檔案管理、文書處理╱排版能力、行政事務處理、報表彙整與管理、文件或資料輸入建檔處理、代辦會計相關事項、會計核算和帳務處理"
13,"應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
14,"應屆畢業生、夜間就讀中、學生實習"," 1年以上 "," 高中、專科、大學 "," 會計學相關、財稅金融相關、一般商業學類 "," 不拘 "," 不拘 "," 不拘 "
15,"上班族、應屆畢業生、夜間就讀中、二度就業、學生實習"," 不拘 "," 專科以上 "," 會計學相關、一般商業學類 "," 不拘 "," 不拘 "," 不拘 "
16,"學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力"," 不拘 "," 不拘 "
17,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 會計學相關、財稅金融相關 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  馬來文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升語文能力","Excel、PowerPoint、Word","財務報表製作、稅務業務處理、結帳作業與帳務處理、會計或審計專業知識、會計核算和帳務處理"
18,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  台語 -- 中等 贊助提升語文能力","Excel、Word"," 不拘 "
19,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
20,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
21,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
22,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
23,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
24,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
25,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
26,"學生實習"," 不拘 "," 高中、專科、大學 "," 會計學相關 "," 不拘 "," 不拘 "," 不拘 "
27,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
28,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
29,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
30,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
31,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、高齡 、更生人、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
32,"應屆畢業生、學生實習"," 不拘 "," 專科、大學 "," 商業及管理學科類 "," 不拘 ","Excel、Word、中文打字20~50"," 不拘 "
