"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
1,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
2,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
3,"日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 大學、碩士 "," 資訊工程相關、資訊管理相關、工程學科類 "," 不拘 ","Java、MS SQL、HTML"," 不拘 "
4,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 1年以上 "," 專科以上 "," 不拘 "," 不拘 ","Windows 7、Windows 10、Excel、Word","文件收發與檔案管理、行政事務處理、電話接聽與人員接待事項、文件或資料輸入建檔處理、商品收貨╱退貨作業"
5,"夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 工程學科類、日文相關科系、資訊管理相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  日文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 ","作業系統基本操作"
6,"應屆畢業生、日間就讀中、二度就業、學生實習"," 不拘 "," 大學、碩士 "," 數學及電算機科學學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /中等 ","Python、SQR、R"," 不拘 "
7,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學以上 "," 資訊工程相關、資訊管理相關、電機電子工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 "," 不拘 "
8,"學生實習"," 不拘 "," 大學、碩士 "," 工業工程相關、資訊管理相關、資訊工程相關 "," 不拘 ","VBA、MS SQL、PL/SQL、Excel"," 不拘 "
9,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升語文能力","Excel、Outlook、Word"," 不拘 "
10,"日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 資訊工程相關、應用數學相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
11,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
