"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
1,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
2,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
3,"上班族、應屆畢業生、日間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
4,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
5,"上班族、應屆畢業生、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
6,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 ","食材貯存管理、食物製前準備、排盤與食品裝飾、廚房設備維護管理、廚房器具使用維護"
7,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、更生人、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
8,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
9,"上班族、應屆畢業生、夜間就讀中、原住民 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
10,"上班族、應屆畢業生、學生實習"," 2年以上 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
11,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
12,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
13,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
14,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
15,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
16,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 ","客戶情報蒐集、櫃檯門市接待與需求服務、櫃台服務與文具伙食供應管理、產品介紹及解說銷售、飲料調製、吧台前置作業準備、門市餐飲管理、食材貯存管理"
17,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
18,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
19,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
20,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
21,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 ","飲料調製、吧台前置作業準備、排盤與食品裝飾、廚房器具使用維護"
22,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
23,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
24,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
